capscan.py: fekerr 20180909-20180911
Simple python script to scan YouTube .SBV captions files.
Usage: capscan <caption.sbv> [werdz.txt]

Arguments on command line: 3 :
./capscan.py
254_captions.sbv
werdz254.txt
Attempting very simple open of sys.argv[1]= 254_captions.sbv
<open file '254_captions.sbv', mode 'r' at 0x7f68a15c55d0>
00003.640, 11.660000 [Music]
00006.160, 14.900000 hello this is embedded I am Alysia white
00011.660, 18.109000 here with Christopher white when I say
00014.900, 21.279000 graphics do you assume I mean a big game
00018.109, 24.679000 computer what about in embedded systems
00021.279, 28.089000 this week we'll be talking to Gabrielle
00024.679, 31.640000 Jakob Oh about embedded graphics and
00028.089, 32.239000 mqtt home automation have real thanks
00031.640, 35.780000 for joining us
00032.239, 38.780000 hi crease another yeah that's going good
00035.780, 40.250000 I know you have worked at some company
00038.780, 44.329000 we're not going to talk about with my
00040.250, 46.280000 husband but how about you give us an
00044.329, 49.280000 introduction of yourself as though you
00046.280, 52.640000 were meeting us for the first time at a
00049.280, 55.670000 technical conference all right my name
00052.640, 59.179000 is Gabriel or Gabrielle in Spanish I'm
00055.670, 63.440000 an electronics engineer and I typically
00059.179, 66.410000 work remotely with US companies usually
00063.440, 69.470000 in software or firmware development and
00066.410, 73.580000 lately I've been working for graphics
00069.470, 82.850000 and systems engineering I thought he
00073.580, 84.260000 would go on for longer I well let's do
00082.850, 87.080000 lightning round and we will dig into
00084.260, 89.180000 more because despite your short
00087.080, 92.330000 introduction you have done many
00089.180, 94.160000 interesting things so lightning round we
00092.330, 97.100000 asked you short questions we want short
00094.160, 99.260000 answers and if we were behaving
00097.100, 101.81000 ourselves we won't ask you why and how
00099.260, 106.70000 and hi and all of that Christopher you
00101.810, 109.64000 ready yeah Gabrielle sure let's go Star
00106.700, 114.29000 Wars or Star Trek Star Wars what's the
00109.640, 119.34000 stuff what's your favorite x window
00114.290, 126.29900 manager wait up
00119.340, 128.81900 or Katie what's the I've been using kve
00126.299, 131.56900 constantly for the last ten years I
00128.819, 134.90000 wouldn't change it for anything
00131.569, 138.59900 dinosaur movies are shark movies
00134.900, 141.06000 dinosaur is the Amazon a river a
00138.599, 148.76000 bookstore or a tribe of work fierce
00141.060, 152.57900 women for me it's a bookstore or online
00148.760, 154.68000 shopping destination see ahead a sales
00152.579, 156.00000 platform in that in that question but
00154.680, 158.76000 you just want a statement it's
00156.000, 160.41000 tightening and I'm a little uncertain
00158.760, 162.26900 about your answer because when I asked
00160.410, 164.20900 you about Amazon earlier in the week you
00162.269, 167.04000 said it was a river
00164.209, 169.11000 yeah because Amazon doesn't really have
00167.040, 172.79900 any presence in South America but
00169.110, 177.75000 anytime I go to the US Amazon is there
00172.799, 182.01000 probably the first site IPC what color
00177.750, 186.20900 should a llama be a second what color
00182.010, 189.48000 should a llama be Oh what color so the
00186.209, 192.09000 thing is llama means flame in Spanish so
00189.480, 195.81000 that's why we're talking about it it'd
00192.090, 199.73900 be enough different colors blue is the
00195.810, 202.01900 color of a good flame so I'd go with
00199.739, 205.26000 that do you like to complete one project
00202.019, 207.35900 or start a dozen I'd like to complete
00205.260, 211.68000 one project what I actually do is start
00207.359, 217.06900 at awesome alright that's going to dive
00211.680, 219.98900 into things graphics when you say
00217.069, 222.51000 graphics and I know you've done a lot of
00219.989, 225.20900 different working graphics what do you
00222.510, 226.70900 what is what does that word really mean
00225.209, 231.10900 when you're talking about embedded
00226.709, 233.60900 systems and graphics so graphics means
00231.109, 236.40000 different things to different people for
00233.609, 239.16000 and users it means what probably what
00236.400, 242.73000 they see on screen for designers it
00239.160, 246.09000 means the way they communicate with
00242.730, 249.29900 users and for us for more engineers it's
00246.090, 253.08000 the whole pipeline that goes from assets
00249.299, 257.43000 to some processing the frame buffer and
00253.080, 259.23000 to the pixels of the display it's a
00257.430, 262.16000 little odd because I would never say
00259.230, 265.71000 I've worked in graphics but I have put
00262.160, 268.41000 bitmaps into flash and then gotten them
00265.710, 270.42000 out and put them on the screen yeah
00268.410, 273.60000 should I be saying oh yeah graphics is
00270.420, 275.85000 on my resume so when you did that did
00273.600, 278.76000 you constantly write to the screen
00275.850, 280.71000 did you worry about doing the minimal
00278.760, 282.66000 amount of work possible to preserve
00280.710, 287.52000 battery for example one of that is I
00282.660, 289.80000 think graphics work in a way yeah I did
00287.520, 292.53000 all that and I I actually drew a graph
00289.800, 293.64000 too so it wasn't just splatting things
00292.530, 295.83000 on the screen I had to worry about
00293.640, 296.13000 pixels yeah I could put that on your
00295.830, 299.01000 resume
00296.130, 302.60000 okay graphics right it's graphics
00299.010, 305.25000 essentially graphics is usually
00302.600, 310.05000 expensive for batteries so for embedded
00305.250, 312.36000 work anything that saves you on drawing
00310.050, 314.34000 time on redrawing things that you don't
00312.360, 316.71000 need to draw even if you're just like
00314.340, 318.87000 moving assets from the flash to the
00316.710, 321.48000 display that's a fairly complicated
00318.870, 324.54000 process and definitely worth putting in
00321.480, 330.48000 your wrist could you go through the
00324.540, 332.43000 process for us so the center of the
00330.480, 336.27000 graphics process is what's called a
00332.430, 339.84000 frame buffer which is a complicated work
00336.270, 343.32000 for an array in memory a buffer where
00339.840, 345.30000 the pixel information is going to be and
00343.320, 349.56000 it's going to be sent to the display
00345.300, 353.37000 through some mechanism the assets
00349.560, 355.80000 typically come from a flash storage SD
00353.370, 358.08000 card depending on the resolution it's
00355.800, 361.89000 the type of storage that we're going to
00358.080, 365.61000 have there's going to be some sort of
00361.890, 368.04000 DMA transfer from the storage to RAM
00365.610, 370.08000 memory or even directly to the frame
00368.040, 373.11000 buffer and then there's going to be some
00370.080, 375.54000 processing than either by the CPU in
00373.110, 378.57000 what's called software rendering or by a
00375.540, 381.27000 GPU in what's typically called hardware
00378.570, 383.72900 accelerated rendering and then that
00381.270, 386.22000 frame buffer is composed into a frame
00383.729, 387.41000 and that gets sent to the display at a
00386.220, 390.80000 certain time
00387.410, 393.86000 the timing of sending images from the
00390.800, 396.77000 frame buffer to the display has a little
00393.860, 399.71000 bit of complexity because the display is
00396.770, 401.39000 doing it something and the CPU is doing
00399.710, 403.82000 its own thing and if you don't
00401.390, 406.37000 coordinate that properly you end up
00403.820, 408.80000 seeing strange artifacts on screen which
00406.370, 412.10000 you don't want and that depends on how
00408.800, 413.15000 much complexity you have in the in the
00412.100, 415.79000 thing you're displaying if you're doing
00413.150, 417.38000 something very static then usually don't
00415.790, 420.29000 worry about that but if you have a lot
00417.380, 422.18000 of animation or changing data or numbers
00420.290, 424.28000 then then you get into the complexity of
00422.180, 427.46000 oh I don't want to update the screen
00424.280, 428.81000 while I'm still updating the data and
00427.460, 432.56000 I'm put that I want to put on it for the
00428.810, 434.87000 next update exactly and that it seems
00432.560, 437.21000 you have a frame buffer on your LCD and
00434.870, 440.56000 the micro isn't asked acting as frame
00437.210, 445.43000 buffer and having to send things every
00440.560, 447.92000 update yeah so this place typically work
00445.430, 451.10000 in one of two configurations the
00447.920, 453.35000 simplest one I afford the display is
00451.100, 457.10000 basically a mode that emulates what all
00453.350, 460.25000 CRTs display did which is you have a see
00457.100, 463.16000 every sync signal and H horizontal sync
00460.250, 464.66000 signal and pixels and you send stuff to
00463.160, 468.26000 the screen and that gets reflected
00464.660, 472.25000 immediately into pixel information and
00468.260, 474.67000 then an evolution of that is this place
00472.250, 478.34000 with graphics ran on them where the
00474.670, 480.41000 microcontroller can send information at
00478.340, 482.96000 a given time and then that gets
00480.410, 486.23000 displayed to pixels after a certain
00482.960, 488.93000 refresh period yes if your data sheet
00486.230, 492.44000 says you have to use H sink in vsync run
00488.930, 494.39000 away run away very quickly oh well I
00492.440, 498.29000 mean you have to often cuz it's cheaper
00494.390, 501.56000 but it is a lot simpler in the code to
00498.290, 503.54000 have something that has onboard RAM but
00501.560, 505.07000 you pay for it in your processor because
00503.540, 507.35000 you know your processor is doing all of
00505.070, 511.04000 that everyone knows that freeware is
00507.350, 514.21900 free so that's why they're typically
00511.040, 518.63000 used to exchange our complexity for free
00514.219, 520.31000 or complexity so that's all how you
00518.630, 522.89000 would deal with like a bear
00520.310, 524.15000 metal system but you worked on this
00522.890, 527.69000 thing what's it called
00524.150, 529.64000 SDL simple directmedia layer which of
00527.690, 533.99000 course I mean it has the word simple in
00529.640, 538.01000 it so it should be simple right that's a
00533.990, 539.06000 it's a nothing but it's it's it's simple
00538.010, 540.86000 for the user
00539.060, 544.69000 it's quite simple for the user actually
00540.860, 547.49000 it's not simple in its implementation
00544.690, 549.47000 what is it but is it first like if
00547.490, 551.72000 nobody if somebody hasn't heard of it or
00549.470, 555.17000 what it what is this little description
00551.720, 557.83900 so let's say let's let's start with the
00555.170, 561.29000 simplest case right you have a frame
00557.839, 565.10000 buffer on our toes and you create your
00561.290, 570.02000 rendering engine right so you tailor
00565.100, 572.93000 everything to you tailor everything for
00570.020, 576.14000 that artists your whole rendering
00572.930, 577.64000 pipeline is oriented towards having just
00576.140, 580.37000 one frame buffer that you can't directly
00577.640, 582.83000 access and everything works nice your
00580.370, 585.80000 input comes from from interrupts or
00582.830, 589.55000 whatever then imagine that you want to
00585.800, 591.68000 port that to with a minimal effort to I
00589.550, 595.04000 don't know a desktop simulator on
00591.680, 596.69000 Windows or Mac then all your rendering
00595.040, 600.29000 functions basically stop working because
00596.690, 603.37000 Windows uses its own API for rendering
00600.290, 608.62000 and for window creation and for input
00603.370, 612.31000 for events etc and Mac uses a different
00608.620, 615.50000 scheme Linux this is a different scheme
00612.310, 618.50000 Android doesn't even have a main loop
00615.500, 621.68000 that you can use so what SDL does is
00618.500, 627.02000 abstract all of that into a single API
00621.680, 629.20900 slash application philosophy so instead
00627.020, 631.49000 of having to worry about how you create
00629.209, 634.45900 window a window on windows some
00631.490, 637.43000 background Linux you create you call SPL
00634.459, 640.31000 underscore create window and everything
00637.430, 642.83000 is magically so internally you don't
00640.310, 646.49000 need to worry about how the main loops
00642.830, 649.22000 of the OS work you don't need to worry
00646.490, 652.04000 about how to read the keyboard or the
00649.220, 653.82000 gamepad or the mouse everything comes as
00652.040, 656.52000 events in this
00653.820, 658.56000 way across all platforms so it's
00656.520, 665.73000 basically a harbor and always
00658.560, 669.62000 abstraction like yeah cutie cute to some
00665.730, 672.27000 extent but cute is much more it's it's
00669.620, 675.36000 it's more of an app of total application
00672.270, 677.31000 framework so it has networking and all
00675.360, 679.86000 kinds of stuff language extensions
00677.310, 684.54000 whereas this is this isn't see it's more
00679.860, 688.38000 directed toward input and graphics do I
00684.540, 691.08000 have that right so yeah so I don't know
00688.380, 693.60000 how cutie obstructs platforms internally
00691.080, 695.94000 but you could have for example cutie a
